,Messzeit,Feinstaub (µg/m3),Schwefeldioxid (µg/m3),Stickstoffdioxid (µg/m3),Stickstoffmonoxid (µg/m3)
0,02.01.2012,11.0,11.0,26.0,5.0
1,03.01.2012,10.0,5.0,16.0,4.0
2,04.01.2012,11.0,9.0,22.0,5.0
3,05.01.2012,12.0,5.0,17.0,5.0
4,06.01.2012,11.0,3.0,30.0,7.0
5,07.01.2012,14.0,10.0,18.0,2.0
6,08.01.2012,13.0,3.0,15.0,2.0
7,09.01.2012,13.0,3.0,35.0,24.0
8,10.01.2012,25.0,6.0,36.0,11.0
9,11.01.2012,20.0,6.0,37.0,10.0
10,12.01.2012,17.0,11.0,19.0,5.0
11,13.01.2012,15.0,3.0,20.0,5.0
12,14.01.2012,13.0,3.0,22.0,2.0
13,15.01.2012,15.0,4.0,35.0,16.0
14,16.01.2012,28.0,11.0,53.0,67.0
15,17.01.2012,23.0,8.0,53.0,40.0
16,18.01.2012,36.0,7.0,54.0,62.0
17,19.01.2012,20.0,7.0,32.0,12.0
18,20.01.2012,10.0,6.0,34.0,7.0
19,21.01.2012,12.0,5.0,18.0,2.0
20,22.01.2012,10.0,3.0,15.0,2.0
21,23.01.2012,12.0,3.0,47.0,49.0
22,24.01.2012,,3.0,34.0,18.0
23,25.01.2012,,3.0,24.0,11.0
24,26.01.2012,20.0,3.0,16.0,11.0
25,27.01.2012,40.0,3.0,24.0,10.0
26,28.01.2012,65.0,4.0,19.0,3.0
27,29.01.2012,76.0,8.0,12.0,2.0
28,30.01.2012,36.0,9.0,16.0,4.0
29,31.01.2012,38.0,6.0,24.0,5.0
30,01.02.2012,21.0,3.0,26.0,7.0
31,02.02.2012,23.0,3.0,42.0,18.0
32,03.02.2012,20.0,3.0,37.0,11.0
33,04.02.2012,22.0,3.0,39.0,9.0
34,05.02.2012,29.0,3.0,24.0,6.0
35,06.02.2012,48.0,3.0,41.0,21.0
36,07.02.2012,27.0,4.0,44.0,16.0
37,08.02.2012,14.0,3.0,17.0,4.0
38,09.02.2012,22.0,3.0,21.0,5.0
39,10.02.2012,25.0,3.0,38.0,11.0
40,11.02.2012,20.0,3.0,20.0,2.0
41,12.02.2012,40.0,11.0,34.0,5.0
42,13.02.2012,34.0,7.0,42.0,23.0
43,14.02.2012,31.0,3.0,34.0,21.0
44,15.02.2012,29.0,3.0,19.0,5.0
45,16.02.2012,31.0,9.0,48.0,50.0
46,17.02.2012,24.0,3.0,41.0,10.0
47,18.02.2012,32.0,3.0,16.0,2.0
48,19.02.2012,,6.0,15.0,2.0
49,20.02.2012,,6.0,37.0,12.0
50,21.02.2012,27.0,6.0,39.0,11.0
51,22.02.2012,,9.0,32.0,10.0
52,23.02.2012,24.0,6.0,30.0,7.0
53,24.02.2012,26.0,3.0,31.0,8.0
54,25.02.2012,,3.0,20.0,2.0
55,26.02.2012,,3.0,17.0,6.0
56,27.02.2012,,5.0,48.0,19.0
57,28.02.2012,,3.0,32.0,16.0
58,29.02.2012,20.0,3.0,35.0,25.0
59,01.03.2012,29.0,4.0,31.0,13.0
60,02.03.2012,22.0,3.0,27.0,7.0
61,03.03.2012,15.0,3.0,10.0,2.0
62,04.03.2012,20.0,3.0,11.0,2.0
63,05.03.2012,26.0,6.0,25.0,4.0
64,06.03.2012,27.0,4.0,27.0,5.0
65,07.03.2012,35.0,3.0,24.0,7.0
66,08.03.2012,18.0,3.0,26.0,5.0
67,09.03.2012,37.0,6.0,37.0,14.0
68,10.03.2012,26.0,6.0,21.0,2.0
